Грозовой перевал,Эмили Бронте,https://img4.labirint.ru/rc/902c1e1e0dbe51c16cb365827be65987/363x561q80/books77/768946/cover.png?1606829639,https://www.labirint.ru/books/768946/
Легенда о Сонной Лощине,Вашингтон Ирвинг,https://img4.labirint.ru/rc/07476cb78e3d2b1bdbefe10fb59639d4/363x561q80/books79/787384/cover.jpg?1614529505,https://www.labirint.ru/books/787384/
Горбун из Нотр-Дама,Виктор Гюго,https://img4.labirint.ru/rc/9a3b8e00760368091290dc154fe4d777/363x561q80/books15/148896/cover.jpg?1280394613,https://www.labirint.ru/multimedia/148896/
Портрет Дориана Грея,Оскар Уайльд,https://img4.labirint.ru/rc/b07ced143a1986737f00db29b1deb9a5/363x561q80/books59/589212/cover.jpg?1612707991,https://www.labirint.ru/books/589212/
Дракула,Брэм Стокер,https://img3.labirint.ru/rc/b998115af27001f3e663673b6eff4d7d/363x561q80/books84/830269/cover.jpg?1635398747,https://www.labirint.ru/books/830269/
Песочный человек,Эрнст Теодор Амадей Гофман,https://img3.labirint.ru/rc/91e680f6222fc747586057da268256b8/363x561q80/books68/670389/cover.png?1575369125,https://www.labirint.ru/books/670389/
Похищенное письмо,Эдгар Аллан По,https://img4.labirint.ru/rc/7e6fb1c7524eb48497096e889bd8e618/363x561q80/books59/582650/cover.jpg?1563994208,https://www.labirint.ru/books/582650/
Похищение белого слона,Марк Твен,https://img4.labirint.ru/rc/ee1af53b5857f43bf3e1229f769cee60/363x561q80/books33/320912/cover.jpg?1563644510,https://www.labirint.ru/books/320912/
Мадемуазель де Скюдери,Эрнст Теодор Амадей Гофман,https://img3.labirint.ru/rc/77bd96697d5452469c4cf8a87879c5aa/363x561q80/books60/598425/cover.jpg?1564032432,https://www.labirint.ru/books/598425/
Разбойничий рай,Гилберт Кит Честертон,img,ссылки нет
Странные шаги,Гилберт Кит Честертон,https://img4.labirint.ru/rc/16d749f493ded573601d18b34dc4c3b9/363x561q80/books8/77762/cover.jpg?1280394613,https://www.labirint.ru/books/77762/
Гибель мистера Хиггинботама,Натаниэль Готорн,img,ссылки нет
Том Сойер — сыщик,Марк Твен,https://img3.labirint.ru/rc/7cfbb2e02df20bbee1e30525bd515b91/363x561q80/books62/617407/cover.png?1575387095,https://www.labirint.ru/books/617407/
Красная комната,Герберт Джордж Уэллс,img,ссылки нет
Хорла,Ги де Мопассан,img,ссылки нет
Неименуемое,Говард Филлипс Лавкрафт,img,ссылки нет
Похититель трупов,Роберт Льюис Стивенсон,https://img4.labirint.ru/rc/596b413b015316880bb73c9e3188de2e/363x561q80/books83/828314/cover.jpg?1637738792,https://www.labirint.ru/books/828314/
Мастер и Маргарита,Михаил Булгаков,https://img3.labirint.ru/rc/836cbe76b3a3cf101ffde5f7990d9376/363x561q80/books57/562263/cover.jpg?1607005515,https://www.labirint.ru/books/562263/
Война и Мир,Лев Толстой,https://img4.labirint.ru/rc/134b5294f6f275d426c42a367f4f9f2a/363x561q80/books61/604732/cover.png?1575448384,https://www.labirint.ru/books/604732/
Ася,Иван Тургенев,https://img3.labirint.ru/rc/d694e6dd43ce003a70a68f758266eebe/363x561q80/books61/602125/cover.png?1575448347,https://www.labirint.ru/books/602125/
Первая любовь,Иван Тургенев,https://img3.labirint.ru/rc/d694e6dd43ce003a70a68f758266eebe/363x561q80/books61/602125/cover.png?1575448347,https://www.labirint.ru/books/602125/
Преступление и наказание,Фёдор Достоевский,https://img4.labirint.ru/rc/aa888e306b0dcf3ff545f92a214f9a70/363x561q80/books59/588504/cover.png?1575447978,https://www.labirint.ru/books/588504/
Евгений Онегин,Александр Пушкин,https://img3.labirint.ru/rc/ae731ba0c5477b82f842a7692cf70358/363x561q80/books67/669673/cover.png?1575369100,https://www.labirint.ru/books/669673/
Мёртвые души,Николай Гоголь,https://img4.labirint.ru/rc/b96e5bd1f860f862c7f15750d2654454/363x561q80/books58/577332/cover.png?1575455340,https://www.labirint.ru/books/577332/
Братья Карамазовы,Фёдор Достоевский,https://img4.labirint.ru/rc/4f20305d283c6848c1387dff7d93d16e/363x561q80/books63/620392/cover.png?1575390312,https://www.labirint.ru/books/620392/
Анна Каренина,Лев Толстой,https://img3.labirint.ru/rc/63a5459ac7e8770c08cf2c62e12b68c1/363x561q80/books59/588501/cover.png?1575447976,https://www.labirint.ru/books/588501/
Герой нашего времени,Михаил Лермонтов,https://img4.labirint.ru/rc/43d88bf76177adbc34b7949f3f632314/363x561q80/books63/628290/cover.png?1575394052,https://www.labirint.ru/books/628290/
Записки охотника,Иван Тургенев,https://img3.labirint.ru/rc/a3dc478aac2d8b7e8223273ee79fc856/363x561q80/books65/645281/cover.png?1575383577,https://www.labirint.ru/books/645281/
Муму,Иван Тургенев,https://img3.labirint.ru/rc/93ec2f2a64b42ea52061382bd437ce79/363x561q80/books69/686303/cover.jpg?1564198118,https://www.labirint.ru/books/686303/
Идиот,Фёдор Достоевский,https://img3.labirint.ru/rc/c12f175adabf84360f70ccdb99faf032/363x561q80/books59/588505/cover.png?1575447978,https://www.labirint.ru/books/588505/
Левша,Николай Лесков,https://img3.labirint.ru/rc/527107827cae864eeca89641b81afe96/363x561q80/books68/671695/cover.jpg?1564158733,https://www.labirint.ru/books/671695/
Леди Мфкбет Мценского Уезда,Николай Лесков,https://img4.labirint.ru/rc/a1b37b47cbbfa64d1ae4a266789057d8/363x561q80/books66/652432/cover.png?1575376322,https://www.labirint.ru/books/652432/
Собачье сердце,Михаил Булгаков,https://img4.labirint.ru/rc/0137d6ce5e596cd8711dd96b470bed95/363x561q80/books68/677272/cover.jpg?1547465221,https://www.labirint.ru/books/677272/
Записки юного врача,Михаил Булгаков,https://img3.labirint.ru/rc/9b82321ca6b282589e1f54167dfe703e/363x561q80/books78/776847/cover.png?1619195119,https://www.labirint.ru/books/776847/
Двенадцать стульев,"Илья Ильф, Евгений Петров",https://img4.labirint.ru/rc/4e5c691d55aa7e1d2bcca0233ea92f8a/363x561q80/books84/839712/cover.png?1649957102,https://www.labirint.ru/books/839712/
Золотой телёнок,"Илья Ильф, Евгений Петров",https://img3.labirint.ru/rc/4f1ea5168d053cff7520cafc1dfb56f9/363x561q80/books84/839713/cover.png?1649953507,https://www.labirint.ru/books/839713/
Отверженные,Виктор Гюго,https://img4.labirint.ru/rc/d40c9b32f3737b9d78e0b51082acf054/363x561q80/books66/659856/cover.png?1575372887,https://www.labirint.ru/books/659856/
Обыкновенная история,Иван Гончаров,https://img4.labirint.ru/rc/44a42a70d4914e0f5c321406b34bf8e3/363x561q80/books63/620408/cover.png?1575390337,https://www.labirint.ru/books/620408/
Обыкновенная история,Иван Гончаров,https://img4.labirint.ru/rc/44a42a70d4914e0f5c321406b34bf8e3/363x561q80/books63/620408/cover.png?1575390337,https://www.labirint.ru/books/620408/
Обыкновенная история,Иван Гончаров,https://img4.labirint.ru/rc/44a42a70d4914e0f5c321406b34bf8e3/363x561q80/books63/620408/cover.png?1575390337,https://www.labirint.ru/books/620408/
Три товарища,Эрих Мария Ремарк,https://img4.labirint.ru/rc/bca67acaa01b6025d47cf725fc7265b7/363x561q80/books66/655706/cover.jpg?1613042843,https://www.labirint.ru/books/655706/
Записки из мертвого дома,Фёдор Достоевский,https://img4.labirint.ru/rc/6da7dbd1a954e60f6a085b658680f593/363x561q80/books68/672150/cover.png?1575369177,https://www.labirint.ru/books/672150/
